Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
4.0,32.1,66.1,87.5,117.4,130.3,126.0,118.4,85.0,35.4,20.1,18.1
190.28,609.7,1145.1,1342.9,1585.2,1646.4,1499.6,1393.0,1026.1,688.79,381.1,450.3
112.8,95.6,368.5,386.5,602.4,659.3,631.4,419.5,415.5,183.6,131.0,85.8
