
1,1904,0.0153778,1,2000,0.0030000,1,1856,0.0381333,1,2000,0.0040000,1,1676,0.0441333,1,1634,0.0455333,1,2000,0.0060000,1,1976,0.0341333,1,2000,0.0050000,1,2000,0.0060000,1,2000,0.0050000,1,2000,0.0050000
2,860,0.0617778,2,2000,0.0333333,2,1538,0.0487333,2,2000,0.0020000,2,1946,0.0351333,2,1670,0.0443333,2,1652,0.0449333,2,2000,0.0060000,2,2000,0.0040000,2,1454,0.0515333,2,1982,0.0339333,2,2000,0.0060000
3,1628,0.0276444,3,1502,0.0499333,3,1808,0.0397333,3,2000,0.0060000,3,1766,0.0411333,3,1346,0.0551333,3,1900,0.0366667,3,2000,0.0333333,3,2000,0.0050000,3,1900,0.0366667,3,2000,0.0080000,3,2000,0.0040000
4,1796,0.0201778,4,1166,0.0611333,4,1952,0.0349333,4,2000,0.0060000,4,1994,0.0335333,4,1406,0.0531333,4,2000,0.0080000,4,926,0.0691333,4,1796,0.0401333,4,2000,0.0080000,4,2000,0.0040000,4,2000,0.0060000
5,1964,0.0127111,5,1628,0.0457333,5,476,0.0841333,5,2000,0.0080000,5,2000,0.0030000,5,1544,0.0485333,5,1862,0.0379333,5,200,0.0933333,5,902,0.0699333,5,2000,0.0060000,5,1868,0.0377333,5,2000,0.0060000
6,2000,0.0050000,6,2000,0.0050000,6,1628,0.0457333,6,1964,0.0345333,6,2000,0.0050000,6,1934,0.0355333,6,2000,0.0060000,6,800,0.0733333,6,2000,0.0060000,6,2000,0.0050000,6,740,0.0753333,6,2000,0.0080000
7,1508,0.0329778,7,1370,0.0543333,7,1994,0.0335333,7,1802,0.0399333,7,2000,0.0060000,7,1880,0.0373333,7,2000,0.0070000,7,1500,0.0500000,7,2000,0.0070000,7,2000,0.0090000,7,1868,0.0377333,7,2000,0.0090000
8,1976,0.0121778,8,1970,0.0343333,8,1982,0.0339333,8,1532,0.0489333,8,2000,0.0080000,8,1826,0.0391333,8,2000,0.0080000,8,1800,0.0400000,8,2000,0.0080000,8,2000,0.0040000,8,2000,0.0080000,8,2000,0.0050000
9,1436,0.0361778,9,1910,0.0363333,9,2000,0.0030000,9,1976,0.0341333,9,2000,0.0090000,9,1682,0.0439333,9,2000,0.0050000,9,584,0.0805333,9,2000,0.0333333,9,1736,0.0421333,9,1910,0.0363333,9,2000,0.0040000
10,2000,0.0050000,10,1706,0.0431333,10,2000,0.0050000,10,2000,0.0333333,10,2000,0.0060000,10,2000,0.0060000,10,2000,0.0040000,10,1790,0.0403333,10,1520,0.0493333,10,1982,0.0339333,10,1886,0.0371333,10,2000,0.0070000
11,1148,0.0489778,11,2000,0.0070000,11,2000,0.0070000,11,2000,0.0080000,11,1982,0.0339333,11,1082,0.0639333,11,1682,0.0439333,11,2000,0.0080000,11,1856,0.0381333,11,1940,0.0353333,11,1208,0.0597333,11,2000,0.0080000
12,980,0.0564444,12,1958,0.0347333,12,2000,0.0020000,12,2000,0.0090000,12,308,0.0897333,12,1600,0.0466667,12,926,0.0691333,12,2000,0.0050000,12,2000,0.0090000,12,2000,0.0080000,12,1958,0.0347333,12,2000,0.0030000
13,1328,0.0409778,13,1922,0.0359333,13,2000,0.0030000,13,1454,0.0515333,13,836,0.0721333,13,1736,0.0421333,13,200,0.0933333,13,2000,0.0080000,13,2000,0.0050000,13,2000,0.0060000,13,2000,0.0090000,13,2000,0.0060000
14,1856,0.0175111,14,1640,0.0453333,14,2000,0.0040000,14,1808,0.0397333,14,1800,0.0400000,14,1454,0.0515333,14,1550,0.0483333,14,1946,0.0351333,14,2000,0.0060000,14,1274,0.0575333,14,2000,0.0060000,14,2000,0.0080000
15,1592,0.0292444,15,1988,0.0337333,15,1910,0.0363333,15,2000,0.0040000,15,2000,0.0333333,15,1862,0.0379333,15,1892,0.0369333,15,1886,0.0371333,15,2000,0.0040000,15,1964,0.0345333,15,2000,0.0050000,15,2000,0.0050000
16,1124,0.0500444,16,1910,0.0363333,16,1700,0.0433333,16,2000,0.0060000,16,2000,0.0050000,16,200,0.0933333,16,2000,0.0080000,16,2000,0.0090000,16,1526,0.0491333,16,2000,0.0080000,16,1988,0.0337333,16,2000,0.0080000
