consumption,sun,rainfall,wind
1755666.187,0,0,2.5
1906834.532,0,0,2.9
2114527.123,0,0,4.9
2312423.447,0,0,2.55
2309380.13,0,0,3.4
2337717.979,0,0,2.85
2313361.336,0,0,3.75
2314184.323,0,0,2.5
2293741.29,0,0,1.95
2291202.714,0,0.1,1.8
2246633.105,0,0.2,3.25
2221726.093,0,0.1,5.95
2254478.449,0,0,7.75
2314624.333,0,0,6.1
2235656.586,0,0,2.7
2117998.855,0,0,2.7
1992001.104,0,0,3.8
1930284.32,0,0,4.65
1867457.298,0,0.1,5.05
1792146.068,0,0,6.3
1776376.947,0,0,5.6
1753231.537,0,0,5.05
1731165.08,0,0,7.7
1661287.276,0,0,6.1
1728182.183,0,0,5.75
1882727.479,0,0,4.5
2102305.811,0,0,5.4
2290860.114,0,0,4.7
2293917.325,2.5,0,5
2300199.841,30,0,4.3
2259678.597,30,0.5,5.4
2266776.103,6,0.5,3.95
2212759.86,0,0.3,5.05
2201975.168,0,0.4,3.95
2181179.432,0,0.1,4.3
2188883.537,0,0,3.25
2210040.179,0,0.3,2.55
2295619.419,0,0.2,4.15
2213000.207,0,0.2,4.7
2098631.138,0,0.1,3.25
1994056.342,0,0,4.15
1915929.773,0,0.3,4.35
1827634.397,0,0.2,4.15
1754882.65,0,0.3,6.3
1742241.787,0,0,10.25
1711097.06,0,0.1,7.9
1702883.079,0,0,4.15
1634969.783,0,0,5.4
1679648.323,0,0,4.7
1831337.321,0,0,3.4
2059140.612,0,0,3.05
2252361.092,0,0,3.95
2263701.338,0,0,5.55
2294168.724,0,0,4.85
2263717.443,0,0,4
2254609.202,0,0,4.15
2212496.912,0,0,6.8
2207980.801,0,0.1,3.95
2178862.546,0,0,4.35
2192010.631,0,0,6.1
2235489.116,0,0.2,4.15
2251806.551,0,0.4,8.6
2205196.864,0,0.5,9.7
2085108.264,0,0.9,8.3
1963669.828,0,0.5,10.25
1894376.881,0,0.8,9.9
1814450.602,0,0.9,10.6
1725267.745,0,0.3,9
1703682.856,0,0.6,10.45
1683365.627,0,0.2,10.25
1682491.355,0,0.2,13.85
1638376.031,0,0.3,19.95
1718944.76,0,0.1,20.5
1862330.824,0,0,18.75
2079225.822,0,0.1,19.05
2275959.192,0,0,16.55
2286310.131,5,0,14.8
