
11,1971,526,3,1988,556,2,1951,608,4,1995,403,1,1997,591,1,1984,609,1,1999,630,1,1962,549,1,1999,563,2,1992,468,5,1998,443,,,
12,1996,500,7,1999,630,3,1994,577,5,1999,406,3,1968,630,2,1994,630,2,1694,572,4,1490,496,4,1990,523,3,1999,630,6,2000,441
15,2000,389,8,1999,505,4,2000,630,6,1999,400,7,1998,486,3,1971,577,5,1539,486,5,1657,526,9,2000,630,9,1991,630,11,1999,448
17,1999,630,9,1901,552,5,1995,547,7,1805,525,8,1989,538,4,1934,547,8,1998,630,8,1998,630,10,1696,592,10,2000,630,19,1998,553
,,,10,1994,630,6,1999,630,8,1895,478,10,1959,453,5,1846,568,10,1800,551,9,1753,538,11,1708,630,14,1937,499,23,1999,483
,,,12,2000,483,7,2000,323,9,1998,630,11,1965,630,6,1927,630,11,777,529,10,1910,526,12,1705,588,17,1999,555,,,
,,,13,1994,567,21,2000,363,11,1979,443,12,1987,632,7,899,569,12,1458,596,11,1999,630,13,1952,501,20,1997,531,,,
,,,25,2000,356,28,1995,485,12,1931,580,13,1931,499,8,1303,598,13,1316,513,14,1859,531,14,1997,483,24,1996,481,,,
,,,,,,29,1998,424,13,1911,550,14,1835,579,9,1884,606,14,1977,563,15,1559,555,15,1958,507,25,1935,542,,,
,,,,,,30,2000,630,14,1999,374,15,1993,565,10,1999,523,18,1995,466,16,1419,535,16,1984,483,,,,,,
,,,,,,31,2000,630,15,1994,420,16,1996,594,11,1861,612,20,1997,481,17,1681,561,17,1972,602,,,,,,
,,,,,,,,,16,1905,558,18,1967,588,12,1998,444,21,1631,522,18,1640,566,18,2000,630,,,,,,
,,,,,,,,,17,1885,441,19,1986,613,13,1801,468,22,864,550,19,2000,367,19,1999,468,,,,,,
,,,,,,,,,18,1915,492,22,1987,630,14,1867,546,23,1739,605,20,1969,540,21,1932,630,,,,,,
,,,,,,,,,19,2000,338,23,1694,565,15,1859,538,24,1897,591,21,1998,621,26,1992,630,,,,,,
,,,,,,,,,20,2000,630,24,1999,507,16,1561,472,25,1909,600,27,1631,501,27,1829,630,,,,,,
,,,,,,,,,22,1977,515,27,1871,611,17,1438,576,26,1198,586,28,1666,573,28,2000,630,,,,,,
,,,,,,,,,23,1954,561,28,1220,539,18,1808,598,27,1015,544,29,1434,630,,,,,,,,,
,,,,,,,,,24,1988,513,29,1447,538,19,1992,578,28,1999,441,30,1969,630,,,,,,,,,
,,,,,,,,,25,1999,495,30,1989,621,22,1993,530,30,1250,478,31,1983,536,,,,,,,,,
,,,,,,,,,26,1996,457,31,1941,566,23,1996,587,31,200,557,,,,,,,,,,,,
,,,,,,,,,27,1999,381,,,,24,1124,512,,,,,,,,,,,,,,,
,,,,,,,,,30,1982,599,,,,25,601,520,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,26,1522,483,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,27,2000,341,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,29,1827,560,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,30,1314,544,,,,,,,,,,,,,,,
